Roscosmos,Soyuz FG | Soyuz MS-13 (59S),StatusRetired,nan,Success,2019,Jul,Sat,20,988.0,Kazakhstan
Roscosmos,Proton-M/DM-3 | Spektr-RG,StatusActive,65.0 ,Success,2019,Jul,Sat,13,751.0,Kazakhstan
Arianespace,Vega | Falcon Eye 1,StatusActive,37.0 ,Failure,2019,Jul,Thu,11,113.0,France
VKS RF,Soyuz 2.1v/Volga | Cosmos 2535 to 2538,StatusActive,nan,Success,2019,Jul,Wed,10,1034.0,Russia
Roscosmos,"Soyuz 2.1b/Fregat-M | Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",StatusActive,nan,Success,2019,Jul,Fri,5,341.0,Russia
Exos,SARGE | Launch 3,StatusActive,nan,Partial Failure,2019,Jun,Sat,29,1080.0,New Mexico
Rocket Lab,Electron/Curie | Make it Rain,StatusActive,7.5 ,Success,2019,Jun,Sat,29,270.0,New Zealand
SpaceX,Falcon Heavy | STP-2,StatusActive,90.0 ,Success,2019,Jun,Tue,25,390.0,USA
CASC,Long March 3B/E | Beidou-3 IGSO-2,StatusActive,29.15 ,Success,2019,Jun,Mon,24,1089.0,China
Arianespace,Ariane 5 ECA | Eutelsat 7C &  AT&T T-16,StatusActive,200.0 ,Success,2019,Jun,Thu,20,1303.0,France
SpaceX,Falcon 9 Block 5 | RADARSAT Constellation,StatusActive,50.0 ,Success,2019,Jun,Wed,12,857.0,USA
CASC,Long March 11H | Jilin-1 & Others,StatusActive,5.3 ,Success,2019,Jun,Wed,5,246.0,Yellow Sea
Roscosmos,Proton-M/Briz-M | Yamal-601,StatusActive,65.0 ,Success,2019,May,Thu,30,1062.0,Kazakhstan
Roscosmos,Soyuz 2.1b/Fregat-M | Cosmos 2534,StatusActive,nan,Success,2019,May,Mon,27,383.0,Russia
SpaceX,Falcon 9 Block 5 | Starlink V0.9,StatusActive,50.0 ,Success,2019,May,Fri,24,150.0,USA
CASC,Long March 4C | Yaogan Weixing-33,StatusActive,64.68 ,Failure,2019,May,Wed,22,1375.0,China
ISRO,PSLV-CA | RISAT-2B,StatusActive,21.0 ,Success,2019,May,Wed,22,0.0,India
CASC,Long March 3C/E | Beidou-2 G8,StatusActive,nan,Success,2019,May,Fri,17,948.0,China
Rocket Lab,Electron/Curie | That's a Funny Looking Cactus,StatusActive,7.5 ,Success,2019,May,Sun,5,360.0,New Zealand
SpaceX,Falcon 9 Block 5 | CRS-17,StatusActive,50.0 ,Success,2019,May,Sat,4,408.0,USA
Blue Origin,New Shepard | NS-11,StatusActive,nan,Success,2019,May,Thu,2,815.0,USA
CASC,Long March 4B | Tianhui-2 Group 01,StatusActive,64.68 ,Success,2019,Apr,Mon,29,1372.0,China
CASC,Long March 3B/E | Beidou-3 IGSO-1,StatusActive,29.15 ,Success,2019,Apr,Sat,20,870.0,China
Northrop,Antares 230 | CRS NG-11,StatusRetired,85.0 ,Success,2019,Apr,Wed,17,1246.0,USA
SpaceX,Falcon Heavy | ArabSat 6A,StatusActive,90.0 ,Success,2019,Apr,Thu,11,1355.0,USA
Arianespace,Soyuz ST-B/Fregat-MT | O3b FM17-FM20,StatusActive,nan,Success,2019,Apr,Thu,4,1024.0,France
